year,predicted_winner,predicted_pct,actual_winner,actual_pct,gap,status
1789,Washington,100,Washington,100,0,OK
1792,Washington,100,Washington,100,0,OK
1796,Adams,51.3,Adams,53.4,2.1,OK
1800,Jefferson,56.5,Jefferson,61.4,4.9,OK
1804,Jefferson,53,Jefferson,72.8,19.8,MARGIN
1808,Madison,60,Madison,64.7,4.7,OK
1812,Madison,54.8,Madison,58.7,3.9,OK
1816,Monroe,59.1,Monroe,68.2,9.1,OK
1820,Monroe,100,Monroe,99.6,0.4,OK
1824,Jackson,53,Jackson,41.4,11.6,MARGIN
1828,Jackson,63.5,Jackson,56,7.5,OK
1832,Jackson,71.3,Jackson,54.2,17.1,MARGIN
1840,Harrison,50.4,Harrison,52.9,2.5,OK
1844,Polk,58.3,Polk,49.5,8.8,OK
1848,Taylor,51.3,Taylor,47.3,4,OK
1852,Pierce,67,Pierce,50.8,16.2,MARGIN
1856,Buchanan,42.6,Buchanan,45.3,2.7,OK
1860,Lincoln,41.7,Lincoln,39.8,1.9,OK
1864,Lincoln,55.7,Lincoln,55,0.7,OK
1868,Grant,72.2,Grant,52.7,19.5,MARGIN
1872,Grant,62.6,Grant,55.6,7,OK
1876,Tilden,85.2,Tilden,50.9,34.3,MARGIN
1880,Garfield,58.3,Garfield,48.3,10,OK
1884,Cleveland,67.8,Cleveland,48.9,18.9,MARGIN
1888,Cleveland,56.5,Cleveland,48.6,7.9,OK
1892,Cleveland,56.5,Cleveland,46,10.5,MARGIN
1896,McKinley,53.9,McKinley,51,2.9,OK
1900,McKinley,60,McKinley,51.6,8.4,OK
1904,Roosevelt,55.7,Roosevelt,56.4,0.7,OK
1908,Taft,62.6,Taft,51.6,11,MARGIN
1912,Wilson,48.7,Wilson,41.8,6.9,OK
1916,Wilson,66.1,Wilson,49.2,16.9,MARGIN
1920,Harding,61.7,Harding,60.3,1.4,OK
1924,Coolidge,45.2,Coolidge,54,8.8,OK
1928,Hoover,53.9,Hoover,58.2,4.3,OK
1932,Roosevelt,63.5,Roosevelt,57.4,6.1,OK
1936,Roosevelt,50.4,Roosevelt,60.8,10.4,MARGIN
1940,Roosevelt,66.1,Roosevelt,54.7,11.4,MARGIN
1944,Roosevelt,59.1,Roosevelt,53.4,5.7,OK
1948,Truman,49.6,Truman,49.6,0,OK
1952,Eisenhower,60,Eisenhower,55.2,4.8,OK
1956,Eisenhower,61.7,Eisenhower,57.4,4.3,OK
1960,Kennedy,56.5,Kennedy,49.7,6.8,OK
1964,Johnson,83.5,Johnson,61.1,22.4,MARGIN
1968,Nixon,51.3,Nixon,43.4,7.9,OK
1972,Nixon,84.3,Nixon,60.7,23.6,MARGIN
1976,Carter,54.8,Carter,50.1,4.7,OK
1980,Reagan,53.9,Reagan,50.7,3.2,OK
1984,Reagan,69.6,Reagan,58.8,10.8,MARGIN
1988,Bush,67,Bush,53.4,13.6,MARGIN
1992,Clinton,53.9,Clinton,43,10.9,MARGIN
1996,Clinton,58.3,Clinton,49.2,9.1,OK
2000,Gore,54.8,Gore,48.4,6.4,OK
2004,Bush,59.1,Bush,50.7,8.4,OK
2008,Obama,59.1,Obama,52.9,6.2,OK
2012,Obama,70.4,Obama,51.1,19.3,MARGIN
2016,Clinton,73,Clinton,48.2,24.8,MARGIN
2020,Biden,67,Biden,51.3,15.7,MARGIN
2024,Harris,53.9,Trump,49.8,4.1,WRONG