id,name,tier,confidence,pattern_a,pattern_b,mor_as_cd,current_MAT_pos,current_MAT_sal,current_CD_pos,current_CD_sal,current_CU_pos,current_CU_sal,current_MOR_pos,current_MOR_sal,current_PRO_pos,current_PRO_sal,current_COM_pos,current_COM_sal,current_ZS_pos,current_ZS_sal,current_ONT_H_pos,current_ONT_H_sal,current_ONT_S_pos,current_ONT_S_sal,current_PF_pos,current_TRB_pos,current_ENG_pos,proposed_MAT_pos,proposed_MAT_sal,proposed_CD_pos,proposed_CD_sal,proposed_CU_pos,proposed_CU_sal,proposed_MOR_pos,proposed_MOR_sal,proposed_PRO_pos,proposed_PRO_sal,proposed_COM_pos,proposed_COM_sal,proposed_ZS_pos,proposed_ZS_sal,proposed_ONT_H_pos,proposed_ONT_H_sal,proposed_ONT_S_pos,proposed_ONT_S_sal,proposed_PF_pos,proposed_TRB_pos,proposed_ENG_pos,priority_node_changes,evidence_note
001,Rawlsian Reformer,T1,LOW,N,N,N,1,2,1,2,5,3,5,3,5,2,4,2,2,2,4,2,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,"Rawlsian Reformer encoding consistent with rubric: high CU/MOR universalism, ONT_S 3 reasonable for proceduralist liberal."
002,Independent Social Democrat,T1,LOW,N,N,N,1,2,2,1,4,1,5,2,3,2,4,1,2,1,4,1,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,"Coding internally consistent. ONT_S 3 mid-low for soc-dem may be a touch low but defensible."
003,Consensus Redistributionist,T1,LOW,N,N,N,1,2,3,1,4,1,4,1,5,2,5,2,2,1,4,1,3,1,2,2,,,,,,,,,,,,,,,,,,,4,1,,,,"Consensus redistributionist proceduralist consistent. ONT_S=3 plausibly should be 4 (institutionalist reformers); MEDIUM-leaning but holding LOW given salience low."
004,Labor Reformer,T1,MEDIUM,N,N,N,1,2,2,1,3,1,4,1,4,2,4,1,2,1,4,1,3,1,3,4,,,,,,,,,,,,,,,,,,,4,1,,,,ONT_S,"Labor reformers (FDR/Wagner Act tradition) are institutional-builders; ONT_S=3 reads as mid where 4 fits the rubric anchor 'institutional reformers who use institutions hard'."
005,Pluralist Structuralist,T1,LOW,N,N,N,2,2,2,1,4,2,4,2,5,2,4,1,4,2,4,1,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,Already corrected to ONT_S=4 per ADR-010 reframe. Encoding consistent.
006,Fairness Pragmatist,T1,LOW,N,N,N,2,2,2,1,4,1,3,1,4,2,5,2,2,2,4,1,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,Internally consistent fairness-pragmatist coding.
007,Solidarist Reformer,T1,MEDIUM,N,N,Y,1,2,5,2,3,2,5,2,4,2,5,2,2,2,4,2,3,1,2,2,,,3,2,,,,,,,,,,,,,,,,,,CD,"Solidarist Reformer coded CD=5 (max traditional) but communal-left/solidarist reformers are not traditionalist on social direction. Likely CD=3 intended (mid). Possible coding error or unusual archetype intent."
008,Procedural Redistributionist,T1,LOW,N,N,N,1,2,2,1,4,1,4,2,5,2,3,1,2,1,4,1,3,1,2,2,,,,,,,,,,,,,,,,,,,4,1,,,,ONT_S,"ONT_S=3 light for archetype literally named procedural-redistributionist; rubric anchor 4 fits better but salience low."
010,Bread-and-Butter Progressive,T1,MEDIUM,N,N,N,1,2,3,0,1,2,2,1,4,2,4,1,2,1,4,1,3,1,2,2,,,,,,4,2,,,,,,,,,,,,4,1,,,,"CU,MOR,ONT_S","BBP progressive coded CU=1 (max uniformity) and MOR=2 (narrow). For a class-economic progressive these read inverted: economic progressives typically want broader CU and at least MOR=3. Possibly intentional 'economic-only progressive ignores social' framing but flag."
011,Jacobin Egalitarian,T1,LOW,N,N,N,1,2,1,2,4,2,4,2,2,2,1,2,5,2,3,2,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,Jacobin = revolutionary; ONT_S=2 fits 'tear down institutions' but anti high preserves anti-procedural posture. Consistent.
012,Class-War Leftist,T1,HIGH,N,N,Y,1,2,1,2,2,2,3,2,2,1,1,2,5,2,1,2,2,2,2,5,,,,,4,2,4,2,,,,,,,,,,,,,,,,"CU,MOR,ONT_H","Class-War Leftist: CU=2 narrow uniformity (likely overread as nationalist class-war), MOR=3 narrow-mid (rubric: spatial scope, class-leftists typically MOR=4 universal-leaning), ONT_H=1 hard-fixed (Class-warriors who are MAT=1 typically believe humans are MALLEABLE under the right system, not fixed; old optimism-vs-pessimism reading). Per H. Wallace gap question - core left-internationalist with MOR=3 is suspicious."
013,Radical Leveler,T1,LOW,N,N,N,2,2,1,2,4,1,4,1,1,2,2,1,5,2,3,1,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,Revolutionary coding. ONT_S=1 anti-institutional fits radical-leveler (Diggers/Levellers tradition).
014,Activist Progressive,T1,HIGH,Y,N,N,1,2,2,2,4,1,4,1,2,1,3,1,5,2,3,1,2,1,2,3,,,,,,,,,,,,,,,,,,,4,1,,,,ONT_S,"Pattern A: archetype named 'Activist Progressive' has ONT_S=2 — but Progressives are reformers within institutions (rubric anchor 4: 'institutional reformers who use institutions hard'). Should be ONT_S=4. PRO=2 borderline; activists may be willing to break some procedure but progressives historically do work the system."
015,Moral Firebrand,T1,LOW,N,N,N,1,2,2,2,5,3,5,3,1,2,1,2,5,2,5,3,1,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,Moral firebrand = abolitionist-style (Garrison) — CU=5/MOR=5 fit. PRO=1 fits 'will break rules for moral cause'. ONT_S=1 anti-institutional fits Garrison purist tradition.
016,Insurgent Equalizer,T1,LOW,N,N,N,1,2,2,2,4,2,4,2,1,2,1,2,5,2,3,2,1,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,Insurgent Equalizer = revolutionary mode. ONT_S=1 with anti:high fits.
017,Uncompromising Redistributionist,T1,LOW,N,N,N,1,2,1,2,4,1,4,1,2,1,1,2,5,2,1,2,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,Coding plausible. PRO=2 anti-procedural slight may be light; could be pos=3 mid. Hold LOW.
019,Anarchist Mutualist,T1,LOW,N,N,N,1,2,1,2,5,2,4,2,1,3,1,2,1,3,4,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,DEACTIVATED - merged into 020. No action needed.
020,Grassroots Autonomist,T1,LOW,N,N,N,1,2,1,2,5,2,4,2,1,3,1,2,2,2,4,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,Anarchist-mutualist style. ONT_S=2 fits 'critic of institutions but builds local alternatives' (rubric anchor 2). PRO=1 fits anti-procedural action.
021,Principled Cosmopolitan,T1,MEDIUM,N,N,N,2,2,1,2,5,3,5,3,5,2,2,2,1,2,4,2,3,2,2,2,,,,,,,,,,,,,,,,,,,4,2,,,,ONT_S,"Principled Cosmopolitan (merged 021/023/025): ONT_S=3 mid is too low for a 'principled' universalist proceduralist who relies on international institutions. Rubric: 4 fits — institutional reformers who use institutions. Per H. Wallace gap, CU=5/MOR=5 are correct for cosmopolitan-left but ONT_S undershoots."
022,Pluralist Universalist,T1,LOW,N,N,N,2,2,2,2,5,2,4,2,2,2,3,2,1,2,4,2,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,Encoding broadly consistent. PRO=2 oddly low for pluralist proceduralist. Hold LOW.
023,Rights Cosmopolitan,T1,LOW,N,N,N,2,2,1,3,4,3,5,3,5,2,1,3,1,2,5,2,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,DEACTIVATED — merged into 021. No action.
024,Ethical Internationalist,T1,LOW,N,N,N,1,2,1,3,5,2,5,2,5,2,5,3,1,3,5,2,3,1,2,2,,,,,,,,,,,,,,,,,,,4,1,,,,ONT_S,"Ethical Internationalist ONT_S=3 light — left-internationalists actively believe in international institutions (UN/Marshall-Plan tradition). Rubric anchor 4. Per H. Wallace gap. MEDIUM-leaning but salience low."
025,World-Minded Reformer,T1,LOW,N,N,N,1,2,2,2,5,3,5,3,5,2,3,2,1,2,4,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,DEACTIVATED — merged into 021. No action.
026,Cosmopolitan Pragmatist,T1,LOW,N,N,N,2,1,1,2,5,2,3,2,3,2,5,2,1,2,4,2,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,Cosmopolitan pragmatist with MOR=3 (mid-narrow) reasonable for pragmatic version. Encoding consistent.
027,Popperian Liberal,T1,MEDIUM,N,N,N,2,1,2,2,3,2,2,2,5,2,4,2,1,2,5,2,3,1,2,2,,,,,,,,,3,2,,,,,,,,,,,,,"MOR,CU","Popperian Liberal MOR=2 (narrow) but Popper's open society is *moral universalist*. Rubric: should be MOR=4 wide. CU=3 mid likely should be 4 (open-society pluralism). MOR-as-CD content trap inverted: liberal individualist read as 'narrow concern' when actually wide-but-skeptical."
028,Global Caretaker,T1,LOW,N,N,N,2,2,1,2,5,2,5,2,2,2,4,2,1,2,5,2,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,Encoding consistent. ONT_S=3 a touch low but salience also low.
029,Liberationist Progressive,T1,LOW,N,N,N,1,2,1,2,5,2,5,3,1,3,2,2,1,2,4,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,Liberationist Progressive PRO=1 / ONT_S=3 fits Saul-Alinsky/movement-radical mode. Rubric anchor: liberation movements MAY be ONT_S=2-3. Hold LOW.
031,Planetary Steward,T1,MEDIUM,Y,N,N,1,2,1,2,5,2,5,2,3,1,4,1,1,2,5,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,3,2,,,,ONT_S,"Planetary Steward ONT_S=1 anti-institutional reads as 'system doesn't work' but climate-action stewards (Marshall-Plan-for-climate, IPCC) are usually institutional-builders, not nihilists. Pattern A. ONT_S=3 mid fits — they critique current institutions but believe they can be reformed. Possibly intended as deep-green eco-localist."
032,Hamiltonian Technocrat,T1,HIGH,N,N,N,3,2,2,2,4,2,3,2,5,2,4,2,4,2,4,2,3,1,3,2,,,,,,,,,,,,,,,,,,,5,2,,,,ONT_S,"Hamiltonian Technocrat ONT_S=3 — but Hamilton is THE rubric anchor for ONT_S=5 ('Hamilton, FDR New Dealers, Progressive-era state-builders'). Should be 5/sal3. Direct rubric citation HIGH."
033,Systems Modernizer,T1,LOW,N,N,N,2,2,1,3,5,2,4,2,5,2,2,3,2,3,5,2,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,Systems Modernizer correctly ONT_S=4. Encoding consistent.
035,Administrative Liberal,T1,LOW,N,N,N,2,1,3,1,4,1,5,2,5,2,4,2,3,2,4,2,4,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,Already ONT_S=4. Coding consistent.
036,Institutional Optimizer,T1,LOW,N,N,N,4,2,2,2,3,2,4,2,4,2,5,2,2,2,4,2,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,Institutional Optimizer correctly ONT_S=4. Coding consistent.
037,Fabian Modernizer,T1,LOW,N,N,N,1,1,3,1,4,1,4,2,5,3,4,2,2,2,5,3,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,Fabian = institutional gradualist. ONT_S=4 consistent. ONT_H=5 (humans malleable via state programs) consistent.
039,Data-Driven Moderate,T1,LOW,N,N,N,3,0,2,1,3,2,3,1,4,2,4,2,2,1,4,1,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,Encoding broadly consistent for technocratic moderate. ONT_S=4 fits.
040,Reform Engineer,T1,LOW,N,N,N,4,2,1,2,4,1,4,2,5,2,4,2,3,2,4,1,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,Reform Engineer encoding consistent. PRO=5/ONT_S=3 reads as institutional reformer.
042,Localist Progressive,T1,LOW,N,N,N,2,2,2,1,3,2,3,1,3,1,3,1,2,1,3,1,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,Local progressive coding plausible. Wide LOW.
043,Quiet Egalitarian,T1,LOW,N,N,N,1,2,2,1,3,1,4,2,3,1,3,1,2,1,3,1,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,Quiet egalitarian moderate-pace coding consistent.
045,Rooted Social Reformer,T1,LOW,N,N,N,1,2,4,2,3,2,3,2,4,2,5,2,2,2,3,2,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,Rooted Social Reformer with CD=4 (cultural-traditional) + MAT=1 (left-economic) — this IS the agrarian-populist pattern Sam asked about. MOR=3 mid (in-group bias of rooted). Encoding plausible for left-economic+traditional-culture niche.
046,Pastoral Leftist,T1,MEDIUM,N,N,N,2,2,4,2,3,2,5,2,3,1,3,1,2,2,4,2,3,1,2,2,,,,,3,2,,,,4,2,,,,,,,,,,,,"CU,MOR","Pastoral Leftist MAT=2/CD=4/CU=3/MOR=5: 'Pastoral' implies rural/traditional. MOR=5 (max universal) inconsistent with pastoral-rooted (rooted communities tend to MOR=3-4 mid). CU=3 unclear under broadened framing — pastoral may want shared rural way of life (CU=2). Probably not the agrarian-populist Bryan-coded archetype Sam is hunting for — see summary for gap analysis."
048,Solidaristic Localist,T1,LOW,N,N,N,2,2,2,1,3,2,3,1,3,1,4,1,2,1,3,1,3,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,Solidaristic Localist = communitarian. TRB=4 fits localism. Encoding consistent.
049,Moral Egalitarian,T1,LOW,N,N,N,1,2,4,1,3,1,5,2,4,1,3,1,2,1,3,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,Moral Egalitarian MAT=1/CD=4 — communal religious egalitarian. ONT_S=2 plausible (skeptical of state). LOW.
050,Traditionalist Moralist,T1,MEDIUM,N,N,N,2,2,5,2,3,1,5,2,3,1,3,1,3,1,3,1,3,1,2,2,,,,,,,,3,2,,,,,,,,,,,,,MOR,"Traditionalist Moralist MOR=5 (max universal): Pattern B inversion. Traditional moralists usually MOR=3-4 (concern bounded by their moral community). MOR-as-CD content trap (traditional moral *content* read as wide moral *scope*). Should be MOR=3."
051,Systemic Redistributionist,T1,LOW,N,N,N,1,2,3,1,3,2,3,2,3,1,3,1,2,1,4,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,Systemic Redistributionist ONT_S=1 anti-institutional with MAT=1 — fits a 'system-rigged' redistributive populist. Plausible.
053,Consensus Builder,T1,LOW,N,N,N,3,2,3,2,3,2,3,2,5,2,5,3,2,2,4,2,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,Consensus Builder coding consistent. ONT_S=4 institutional belief.
054,Arbiter Moderate,T1,LOW,N,N,N,3,2,3,2,4,1,4,3,5,3,4,3,1,2,5,3,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,Arbiter Moderate institutional/optimist coding consistent.
056,Institutional Leftist,T1,LOW,N,N,N,2,2,4,2,4,3,4,3,3,2,4,2,2,3,4,2,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,Institutional Leftist post-rename coding consistent. CD=4 unusual (cultural-conservative left); H. Wallace gap candidate but ONT_S=4 is correct for institutional-left.
057,Temperate Pluralist,T1,LOW,N,N,N,3,1,2,2,5,2,4,2,4,2,4,2,2,2,4,2,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,Encoding broadly consistent.
059,Public-Minded Moderate,T1,MEDIUM,N,N,N,3,2,3,1,3,2,5,2,4,2,4,2,2,2,2,1,4,1,3,2,,,,,,,,,,,,,,,,,4,1,,,,,ONT_H,"Public-Minded Moderate ONT_H=2 reads as 'humans-fixed-skeptical' for an archetype defined as moderate-civic — moderate civics usually believes in slow cultivation (ONT_H=4). MOR=5 max-universal for a moderate is also a touch high (MOR=4 fits) but anti:low captures it. centristAnchor flag noted."
060,Hinge Citizen,T1,LOW,N,N,N,3,2,3,1,3,2,3,2,4,2,3,2,2,2,4,2,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,Hinge Citizen ONT_S=2 — odd for swing voter but centristAnchor flag captures intentional flatness.
061,Millian Liberal,T1,LOW,N,N,N,5,2,2,2,4,3,4,2,2,2,3,3,1,2,5,3,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,Millian Liberal MAT=5 (laissez-faire) + ONT_S=4 + ONT_H=5 (cultivation through liberty) all fit J.S. Mill. Coding consistent.
062,Meritocratic Liberal,T1,LOW,N,N,N,5,2,2,1,3,1,3,1,5,3,4,1,2,2,4,1,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,Meritocratic Liberal coding consistent.
063,Enterprise Pluralist,T1,LOW,N,N,N,5,2,3,1,3,2,4,1,3,1,5,2,1,2,5,2,4,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,Enterprise Pluralist coding consistent.
065,Opportunity Liberal,T1,MEDIUM,N,N,N,3,3,2,2,5,2,5,2,1,3,3,2,1,3,5,3,4,2,3,2,,,,,,,,,,3,2,,,,,,,,,,,,PRO,"Opportunity Liberal PRO=1 (max anti-procedural) inconsistent with named 'Liberal' — opportunity liberals typically use institutions (school choice, market reform). PRO=3 fits better. ONT_H=5 max-malleable + ONT_S=4 fits liberal-developmentalist."
067,Free-Exchange Modernist,T1,MEDIUM,N,N,N,5,3,1,2,5,3,4,2,1,3,3,2,1,3,5,2,5,2,3,2,,,,,,,,,,3,2,,,,,,,,,,,,PRO,"Free-Exchange Modernist PRO=1 anti-procedural (max) — but free-exchange liberalism (Cobden/Bright/Hayek-style) believes institutions like contract law are essential. PRO=3-4 fits. ONT_S=5 correctly captures faith in market institutions."
