qid,promptShort,stage,uiType,quality,priorityBattery,burden,distinctNodes,isFixedOpener,fixedOpenerSlot,isForcedCoverageProbe,totalEvidenceWeighted,signalPerBurden,askedCount,avgSlot,inDumps,flagCount,flagKinds,touchSummary
1,political_content_frequency,fixed12,single_choice,0.92,false,1,1,true,4,false,2.643,2.643,0,,,0,,ENG/position@0.85~strong(3.11)
2,political_identity_centrality,fixed12,slider,0.94,false,1,2,false,,false,3.26,3.26,0,,D1@21;D2@23,1,subthreshold_touch,PF/position@0.8~strong(2.95)|ENG/position@0.35~strong(2.57)
3,cultural_social_placement,fixed12,slider,0.9,false,1,1,false,,false,2.502,2.502,0,,D1@11;D2@11;D3@11,0,,CD/position@0.9~strong(2.78)
4,cultural_social_salience,fixed12,slider,0.93,false,1,3,false,,false,2.705,2.705,0,,D2@24,0,,CD/salience@0.9~strong(1.85)|CU/salience@0.45~reasonable(1.64)|MOR/salience@0.2~reasonable(1.51)
5,engagement_motivations_top2,screen20,multi,0.86,false,2,7,false,,false,1.334,0.667,0,,,5,overloaded_question|subthreshold_touch|declared_low_actual_high,PRO/salience@0.2~reasonable(0.7)|COM/salience@0.2~reasonable(0.76)|MOR/salience@0.2~reasonable(0.72)|PF/position@0.25~reasonable(0.71)|TRB/position@0.25~reasonable(0.61)|ENG/position@0.3~reasonable(0.96)|EPS/category@0.2~strong(1.4)
6,national_priorities_bundle,stage2,single_choice,0.9,false,1,5,false,,false,4.915,4.915,0,,D1@15,2,overloaded_question|subthreshold_touch,MAT/position@0.65~reasonable(1.92)|CD/position@0.6~reasonable(2.05)|MOR/position@0.6~reasonable(1.98)|ONT_H/position@0.3~reasonable(1.59)|ZS/position@0.4~reasonable(1.48)|MAT/salience@0.3~reasonable(0.6)
7,coalition_vs_principle,screen20,single_choice,0.88,false,1,1,false,,true,1.53,1.53,0,,D1@16;D2@18;D3@17,0,,COM/position@0.85~reasonable(1.8)
8,domestic_vs_abroad_lives,screen20,slider,0.89,false,1,1,false,,false,2.376,2.376,0,,,0,,MOR/position@0.9~strong(2.64)
9,politics_at_social_gatherings,stage2,single_choice,0.86,false,1,2,false,,false,1.546,1.546,0,,,0,,ENG/position@0.6~reasonable(2.03)|COM/position@0.45~reasonable(0.73)
10,climate_energy_bundle,stage3,single_choice,0.42,false,1,2,false,,false,0.99,0.99,0,,,2,subthreshold_touch,MAT/position@0.35~reasonable(2)|ONT_S/position@0.2~reasonable(1.45)
11,nyt_headline_click,fixed12,single_choice,0.86,false,1,2,false,,false,2.081,2.081,0,,D2@22,0,,EPS/category@0.95~strong(1.48)|AES/category@0.45~strong(1.5)
12,guess_top_marginal_tax_rate,stage2,slider,0.68,false,1,1,false,,false,0.532,0.532,0,,,0,,EPS/category@0.35~strong(1.52)
13,preferred_top_marginal_tax_rate,stage2,slider,0.88,false,1,1,false,,false,2.558,2.558,0,,,0,,MAT/position@0.92~strong(2.78)
14,university_admissions_approach,stage2,single_choice,0.83,false,1,2,false,,false,1.799,1.799,0,,,1,subthreshold_touch,MAT/position@0.65~reasonable(2.25)|MOR/position@0.2~reasonable(1.68)
15,inequality_causes_allocation,fixed12,allocation,0.91,false,2,4,false,,false,3.17,1.585,0,,,5,overloaded_question|hollow_touch|subthreshold_touch,MAT/position@0.85~strong(3.2)|ZS/position@0.15~too_weak(0)|COM/position@0.25~reasonable(1.8)|EPS/category@0.1~too_weak(0)|MAT/salience@0.55~too_weak(0)
16,criminal_justice_bundle,stage3,single_choice,0.4,false,1,2,false,,false,0.665,0.665,0,,,2,subthreshold_touch,PRO/position@0.3~reasonable(1.37)|ONT_H/position@0.2~reasonable(1.27)
17,ceo_worker_pay_ratio,stage2,single_choice,0.87,false,1,1,false,,false,2.034,2.034,0,,,0,,MAT/position@0.9~reasonable(2.26)
18,human_improvement_capacity,screen20,single_choice,0.88,false,1,1,false,,true,1.926,1.926,0,,D1@17;D2@20;D3@21,0,,ONT_H/position@0.9~reasonable(2.14)
19,human_progress_salience,screen20,slider,0.93,false,1,1,false,,false,1.758,1.758,0,,D2@27,0,,ONT_H/salience@0.95~strong(1.85)
20,bad_outcomes_blame_allocation,fixed12,allocation,0.9,false,2,4,false,,false,1.84,0.92,0,,,4,overloaded_question|subthreshold_touch|hollow_touch,ZS/position@0.55~reasonable(1.8)|ONT_H/position@0.25~reasonable(1)|COM/position@0.3~reasonable(2)|EPS/category@0.1~too_weak(0)|ZS/salience@0.5~too_weak(0)
21,controversial_speaker,fixed12,single_choice,0.93,false,1,2,false,,false,2.721,2.721,0,,,1,subthreshold_touch,PRO/position@0.8~strong(2.68)|COM/position@0.35~reasonable(1.65)
22,source_trust_conflict,fixed12,single_choice,0.92,false,1,1,true,7,false,1.288,1.288,0,,,0,,EPS/category@0.92~strong(1.4)
23,who_should_shape_a_law,fixed12,ranking,0.89,false,3,2,false,,false,1.386,0.462,0,,,1,subthreshold_touch,EPS/category@0.7~strong(1.48)|PRO/position@0.25~reasonable(1.4)
24,child_traits,screen20,pairwise,0.9,false,1,3,false,,false,1.044,1.044,0,,,2,declared_low_actual_high|subthreshold_touch,EPS/category@0.35~strong(1.48)|AES/category@0.3~strong(1.42)|ONT_H/position@0.1~reasonable(1)
25,criminal_trial_error_tradeoff,screen20,single_choice,0.92,false,1,2,false,,false,1.462,1.462,0,,,1,subthreshold_touch,PRO/position@0.75~reasonable(1.86)|PRO/salience@0.7~too_weak(0)|MOR/position@0.12~reasonable(0.56)
27,welfare_error_tradeoff,stage2,single_choice,0.89,false,1,3,false,,false,1.711,1.711,0,,,2,subthreshold_touch,MAT/position@0.72~reasonable(1.78)|MAT/salience@0.65~too_weak(0)|PRO/position@0.22~too_weak(0.36)|MOR/position@0.24~reasonable(1.46)
28,mask_mandate_acceptability,stage2,single_choice,0.76,false,1,2,false,,false,1.103,1.103,0,,,1,subthreshold_touch,PRO/position@0.55~reasonable(1.4)|CU/position@0.25~reasonable(1.33)
29,factory_closure_causes_ranking,stage2,ranking,0.91,false,3,3,false,,false,1.98,0.66,0,,,2,subthreshold_touch,MAT/position@0.7~reasonable(2.4)|ONT_S/position@0.3~reasonable(0.6)|CU/position@0.2~reasonable(0.6)
30,information_control_error_tradeoff,stage2,single_choice,0.9,false,1,3,false,,false,1.372,1.372,0,,,2,declared_low_actual_high|subthreshold_touch,PRO/position@0.72~reasonable(1.46)|PRO/salience@0.65~too_weak(0)|EPS/category@0.2~strong(1.34)|COM/position@0.12~too_weak(0.44)
31,trade_liberalization_effects,fixed12,single_choice,0.9,false,1,2,false,,false,3.06,3.06,0,,D1@19;D3@22,0,,ZS/position@0.85~reasonable(2.14)|ZS/salience@0.5~reasonable(1.33)|ONT_S/position@0.45~reasonable(1.28)
33,immigration_enforcement_error_tradeoff,stage2,single_choice,0.86,false,1,3,false,,false,1.006,1.006,0,,,2,subthreshold_touch,PRO/position@0.62~reasonable(1.16)|PRO/salience@0.55~too_weak(0)|CU/position@0.22~reasonable(1.24)|ONT_S/position@0.12~too_weak(0.12)
34,threats_to_america_external_internal,stage3,single_choice,0.38,false,1,2,false,,false,0.497,0.497,0,,,2,subthreshold_touch,ZS/position@0.35~reasonable(1.21)|TRB/position@0.2~too_weak(0.37)
35,percent_groups_want_best_share_values,stage2,slider,0.84,false,1,2,false,,false,3.564,3.564,0,,,0,,TRB/position@0.8~strong(2.64)|ZS/position@0.55~strong(2.64)
36,fda_speed_vs_safety,stage2,single_choice,0.88,false,1,2,false,,false,1.294,1.294,0,,,1,declared_low_actual_high,PRO/position@0.65~reasonable(1.56)|EPS/category@0.2~strong(1.4)
37,stupid_workplace_rule_response,stage2,single_choice,0.8,false,1,2,false,,false,1.418,1.418,0,,,1,subthreshold_touch,PRO/position@0.6~reasonable(1.98)|COM/position@0.25~reasonable(0.92)
38,rules_procedures_matter_salience,screen20,slider,0.94,false,1,1,false,,false,1.758,1.758,0,,D1@24;D2@28;D3@28,0,,PRO/salience@0.95~strong(1.85)
39,opponent_model_allocation,screen20,allocation,0.9,false,2,6,false,,false,4.787,2.393,0,,,7,overloaded_question|evidence_too_strong|subthreshold_touch|hollow_touch,TRB/position@0.75~too_strong(3.6)|COM/position@0.45~strong(3)|ONT_H/position@0.3~reasonable(2.1)|ZS/position@0.35~too_weak(0)|MOR/position@0.15~too_weak(0)|EPS/category@0.2~reasonable(0.533)
40,opponents_matter_to_identity,fixed12,slider,0.91,false,1,2,false,,false,3.683,3.683,0,,,0,,PF/position@0.65~strong(2.78)|TRB/position@0.7~strong(2.68)
41,election_access_vs_security,stage2,single_choice,0.9,false,1,2,false,,false,1.097,1.097,0,,,1,subthreshold_touch,PRO/position@0.7~reasonable(1.52)|TRB/position@0.15~too_weak(0.22)
42,close_friends_voted_differently,screen20,single_choice,0.88,false,1,1,false,,false,2.052,2.052,0,,,0,,TRB/position@0.9~reasonable(2.28)
43,veil_of_ignorance_society_choice,stage2,single_choice,0.91,false,1,1,false,,false,1.624,1.624,0,,,0,,MAT/position@0.7~reasonable(2.32)
44,views_changed_in_10_years,stage3,slider,0.58,false,1,1,false,,false,0.385,0.385,0,,,1,subthreshold_touch,PF/position@0.18~reasonable(2.14)
47,political_conflict_with_close_others,fixed12,single_choice,0.89,false,1,1,false,,false,1.071,1.071,0,,,0,,COM/position@0.7~reasonable(1.53)
48,improvement_mechanism,screen20,single_choice,0.87,false,1,4,false,,false,3.459,3.459,0,,,3,overloaded_question|subthreshold_touch,ONT_H/position@0.7~reasonable(2.04)|ONT_S/position@0.55~reasonable(1.98)|MAT/position@0.35~reasonable(1.62)|CD/position@0.25~reasonable(1.5)
49,social_progress_salience,stage2,slider,0.92,false,1,2,false,,false,2.072,2.072,0,,D2@29;D3@20,0,,ONT_H/salience@0.95~strong(1.85)|ONT_S/salience@0.2~reasonable(1.57)
50,integration_expectations_rewrite,stage2,ranking,0.62,false,3,3,false,,false,1.89,0.63,0,,,2,subthreshold_touch,CU/position@0.75~reasonable(2)|CD/position@0.25~reasonable(1.2)|MAT/position@0.15~reasonable(0.6)
51,immigration_national_identity_salience,screen20,slider,0.93,false,1,3,false,,false,3.558,3.558,0,,D1@22;D2@31;D3@30,1,declared_low_actual_high,CU/salience@0.9~strong(1.85)|CD/salience@0.25~reasonable(1.57)|TRB_ANCHOR/anchor@0.25~strong(6)
54,religion_in_upbringing,stage3,single_choice,0.4,false,1,0,false,,false,0,0,0,,,1,metadata_without_evidence,
55,what_changed_your_mind,screen20,multi,0.94,false,2,1,false,,false,1.444,0.722,0,,,0,,EPS/category@0.95~strong(1.52)
56,effective_leader_style,screen20,single_choice,0.95,false,1,1,false,,false,1.38,1.38,0,,,0,,AES/category@0.92~strong(1.5)
59,what_matters_more_in_leader,screen20,single_choice,0.91,false,1,2,false,,false,0.979,0.979,0,,,1,declared_low_actual_high,AES/category@0.45~strong(1.5)|EPS/category@0.2~strong(1.52)
60,politically_important_identities,screen20,priority_sort,0.96,false,3,1,true,5,false,7.6,2.533,0,,D1@4;D2@4;D3@4,0,,TRB_ANCHOR/anchor@0.95~strong(8)
61,political_pitch_resonance,screen20,single_choice,0.94,false,1,2,false,,false,1.674,1.674,0,,D1@20;D3@19,1,declared_low_actual_high,AES/category@0.82~strong(1.5)|EPS/category@0.3~strong(1.48)
62,movement_aesthetics_reaction,screen20,single_choice,0.9,false,1,1,false,,false,1.32,1.32,0,,,0,,AES/category@0.88~strong(1.5)
63,best_worst_battery,screen20,best_worst,0.95,false,2,9,false,,false,1.248,0.624,0,,D1@25;D2@30;D3@29,3,overloaded_question|subthreshold_touch|declared_low_actual_high,MOR/salience@0.38~too_weak(0)|PRO/salience@0.34~too_weak(0)|MAT/salience@0.18~too_weak(0)|CU/salience@0.18~too_weak(0)|COM/salience@0.18~too_weak(0)|CD/salience@0.12~too_weak(0)|ZS/salience@0.12~too_weak(0)|TRB/position@0.12~reasonable(1.4)|TRB_ANCHOR/anchor@0.18~strong(6)
64,political_frustration,stage2,single_choice,0.93,false,1,5,false,,false,2.631,2.631,0,,,5,overloaded_question|subthreshold_touch,MAT/position@0.35~too_weak(0.39)|ONT_S/position@0.8~reasonable(2.36)|PRO/position@0.15~too_weak(0.32)|CD/position@0.2~reasonable(1.07)|ENG/position@0.25~reasonable(1.38)
66,community_fund_allocation,stage2,allocation,0.89,false,2,6,false,,false,3.894,1.947,0,,,4,overloaded_question|subthreshold_touch|hollow_touch,CD/position@0.75~reasonable(1.8)|PRO/position@0.6~reasonable(2.4)|MAT/position@0.2~reasonable(1.6)|COM/position@0.35~reasonable(1)|EPS/category@0.1~too_weak(0)|AES/category@0.35~strong(1.24)
69,common_ground_salience,stage2,slider,0.91,false,1,1,false,,false,1.665,1.665,0,,D1@23;D2@26;D3@26,0,,COM/salience@0.9~strong(1.85)
71,rhetoric_style_importance,stage2,slider,0.88,false,1,1,false,,false,1.665,1.665,0,,D2@25;D3@27,0,,AES/salience@0.9~strong(1.85)
77,decision_making_style,stage2,single_choice,0.93,false,1,2,false,,false,1.501,1.501,0,,,1,hollow_touch,EPS/category@0.95~strong(1.58)|AES/category@0.15~too_weak(0)
78,speaker_appeal,stage2,single_choice,0.92,false,1,2,false,,false,2.13,2.13,0,,,0,,AES/category@0.88~strong(1.5)|AES/salience@0.4~reasonable(1.64)|EPS/category@0.15~reasonable(1.027)
79,expert_disagreement_reaction,stage2,single_choice,0.9,false,1,2,false,,false,2.243,2.243,0,,D3@25,1,subthreshold_touch,EPS/category@0.92~strong(1.58)|EPS/salience@0.4~reasonable(1.38)|ENG/position@0.15~reasonable(1.58)
81,party_vs_cause_loyalty,stage3,single_choice,0.92,false,1,3,false,,false,2.621,2.621,0,,,2,subthreshold_touch,PF/position@0.92~reasonable(2.48)|ENG/position@0.18~reasonable(0.84)|TRB/position@0.1~reasonable(1.88)
82,openness_assimilation_closure,stage3,single_choice,0.91,false,1,4,false,,false,4.73,4.73,0,,D2@17;D3@16,3,overloaded_question|subthreshold_touch,CD/position@0.9~reasonable(2.42)|CU/position@0.88~reasonable(2.34)|MOR/position@0.24~reasonable(1.74)|MAT/position@0.08~reasonable(0.94)
83,broken_politics_diagnosis,stage3,single_choice,0.9,false,1,5,false,,false,1.821,1.821,0,,,3,overloaded_question|subthreshold_touch,ENG/position@0.55~reasonable(0.99)|TRB/position@0.45~reasonable(0.63)|CD/position@0.6~reasonable(0.94)|CU/position@0.25~reasonable(0.9)|COM/position@0.2~reasonable(1.02)
84,institutions_harden_into_domination,stage3,slider,0.89,false,1,5,false,,false,4.016,4.016,0,,D3@24,5,overloaded_question|subthreshold_touch|declared_low_actual_high,ZS/position@0.6~reasonable(2.48)|ZS/salience@0.6~strong(1.85)|ONT_H/position@0.2~reasonable(2.42)|COM/position@0.25~reasonable(1.42)|PRO/position@0.15~reasonable(1.3)|EPS/category@0.3~strong(1.28)
85,institutional_legitimacy_source,stage3,single_choice,0.91,false,1,4,false,,false,2.845,2.845,0,,,4,overloaded_question|subthreshold_touch|declared_low_actual_high,PRO/position@0.88~strong(2.64)|CD/position@0.2~reasonable(0.94)|COM/position@0.08~reasonable(1.17)|EPS/category@0.2~strong(1.2)
87,family_cross_partisan_marriage,stage3,single_choice,0.88,false,1,2,false,,false,2.603,2.603,0,,,1,subthreshold_touch,PF/position@0.88~reasonable(2.49)|TRB/position@0.22~reasonable(1.87)
89,epistemic_style_battery,fixed12,best_worst,0.92,false,2,1,true,6,false,1.292,0.646,0,,D1@5;D2@5;D3@5,0,,EPS/category@0.85~strong(1.52)|EPS/salience@0.55~too_weak(0)
93,priority_sort_opener,fixed12,priority_sort,0.96,true,3,6,true,11,false,7.062,2.354,0,,D1@9;D2@9;D3@9,1,overloaded_question,MAT/salience@0.85~too_weak(0)|MAT/position@0.55~reasonable(2.14)|CD/salience@0.85~too_weak(0)|CD/position@0.55~reasonable(2.14)|CU/salience@0.85~too_weak(0)|CU/position@0.55~reasonable(2.14)|MOR/salience@0.85~too_weak(0)|MOR/position@0.55~reasonable(2.14)|PRO/salience@0.85~too_weak(0)|PRO/position@0.55~reasonable(2.14)|COM/salience@0.85~too_weak(0)|COM/position@0.55~reasonable(2.14)
97,political_thought_frequency,fixed12,single_choice,0.9,false,1,2,true,3,false,3.195,3.195,0,,D1@3;D2@3;D3@3,0,,PF/position@0.7~reasonable(2.45)|ENG/position@0.55~strong(2.69)
98,group_solidarity_feeling,fixed12,single_choice,0.9,false,1,2,false,,false,2.474,2.474,0,,,1,subthreshold_touch,TRB/position@0.85~reasonable(2.45)|MOR/position@0.2~reasonable(1.96)
99,cross_partisan_priority_sort,fixed12,priority_sort,0.9,false,3,1,false,,false,1.272,0.424,0,,,0,,TRB/position@0.8~reasonable(1.59)
100,leader_conjoint,fixed12,conjoint,0.88,false,2,0,false,,false,0,0,0,,,1,metadata_without_evidence,
101,cultural_social_placement_dual,fixed12,dual_axis,0.88,false,2,1,false,,false,3.962,1.981,0,,,1,evidence_too_strong,CD/position@0.8~reasonable(2.14)|CD/salience@0.75~too_strong(3)
102,membership_criteria_priority_sort,fixed12,priority_sort,0.9,true,3,1,true,12,false,0.381,0.127,0,,D1@10;D2@10;D3@10,1,subthreshold_touch,CU/position@0.3~reasonable(1.27)|CU/salience@0.8~too_weak(0)
103,issue_salience_screener,fixed12,priority_sort,0.98,true,3,11,true,2,false,28.842,9.614,0,,D1@2;D2@2;D3@2,12,overloaded_question|evidence_too_strong,MAT/salience@0.95~too_strong(2.76)|CD/salience@0.95~too_strong(2.76)|CU/salience@0.95~too_strong(2.76)|MOR/salience@0.95~too_strong(2.76)|PRO/salience@0.95~too_strong(2.76)|COM/salience@0.95~too_strong(2.76)|ZS/salience@0.95~too_strong(2.76)|ONT_H/salience@0.95~too_strong(2.76)|ONT_S/salience@0.95~too_strong(2.76)|EPS/salience@0.95~too_strong(2.76)|AES/salience@0.95~too_strong(2.76)
200,party_identification,fixed12,single_choice,0.99,false,1,0,true,1,false,0,0,0,,D1@1;D2@1;D3@1,1,metadata_without_evidence,
201,patriotism_institutional_trust,fixed12,single_choice,0.95,false,1,2,false,,false,0.691,0.691,0,,,2,subthreshold_touch,ONT_S/position@0.2~reasonable(1.37)|ONT_S/salience@0.15~too_weak(0)|TRB/position@0.3~reasonable(1.39)
202,state_scope_preference,fixed12,single_choice,0.94,false,1,4,false,,false,2.111,2.111,0,,D2@16,4,overloaded_question|subthreshold_touch,MAT/position@0.55~reasonable(1.99)|PRO/position@0.3~reasonable(1.38)|ONT_S/position@0.3~reasonable(1.38)|COM/position@0.15~reasonable(1.26)
203,military_intervention,fixed12,single_choice,0.9,false,1,3,false,,false,1.244,1.244,0,,,3,subthreshold_touch,MOR/position@0.3~reasonable(1.5)|ZS/position@0.3~reasonable(1.78)|ONT_H/position@0.2~reasonable(1.3)
204,international_engagement,fixed12,single_choice,0.9,false,1,3,false,,false,1.306,1.306,0,,,3,subthreshold_touch,CU/position@0.35~reasonable(1.67)|MOR/position@0.25~reasonable(1.67)|TRB/position@0.2~reasonable(1.52)
205,trade_nationalism,fixed12,single_choice,0.88,false,1,3,false,,false,1.001,1.001,0,,,3,subthreshold_touch,MAT/position@0.35~reasonable(1.39)|CU/position@0.1~reasonable(1.67)|ZS/position@0.25~reasonable(1.39)
206,religion_in_public_life,fixed12,single_choice,0.9,false,1,4,false,,false,1.734,1.734,0,,,4,overloaded_question|subthreshold_touch|declared_low_actual_high,CD/position@0.4~reasonable(1.98)|MOR/position@0.2~reasonable(1.67)|PRO/position@0.2~reasonable(1.03)|EPS/category@0.3~strong(1.34)
207,emergency_powers,fixed12,single_choice,0.9,false,1,2,false,,true,1.877,1.877,0,,D1@18;D2@21;D3@18,1,subthreshold_touch,PRO/position@0.65~reasonable(2.46)|ONT_H/position@0.2~reasonable(1.39)
208,courts_vs_majority,fixed12,single_choice,0.88,false,1,2,false,,false,1.594,1.594,0,,,1,subthreshold_touch,PRO/position@0.55~reasonable(2.41)|ONT_H/position@0.2~reasonable(1.34)
209,zero_sum_economics_view,fixed12,single_choice,0.9,false,1,1,true,13,false,2.394,2.394,0,,D1@12;D2@12;D3@12,0,,ZS/position@0.85~reasonable(2.44)|ZS/salience@0.5~reasonable(0.64)
210,human_malleability_view,fixed12,single_choice,0.9,false,1,1,true,14,false,2.106,2.106,0,,D1@13;D2@13;D3@13,1,evidence_too_weak,ONT_H/position@0.85~reasonable(2.36)|ONT_H/salience@0.4~too_weak(0.25)
211,strategic_voting,fixed12,single_choice,0.95,false,1,0,true,9,false,0,0,0,,D1@7;D2@7;D3@7,1,metadata_without_evidence,
212,negative_partisanship,fixed12,single_choice,0.95,false,1,0,true,10,false,0,0,0,,D1@8;D2@8;D3@8,1,metadata_without_evidence,
213,equal_standing_within_polity,fixed12,single_choice,0.95,false,1,3,false,,true,3.409,3.409,0,,D2@19;D3@15,2,subthreshold_touch,MOR/position@0.85~strong(2.5)|MOR/salience@0.5~reasonable(1.04)|CU/position@0.3~reasonable(1.74)|PRO/position@0.2~reasonable(1.21)
214,institutions_foundational,fixed12,single_choice,0.95,false,1,3,true,15,false,3.09,3.09,0,,D1@14;D2@14;D3@14,2,subthreshold_touch,ONT_S/position@0.85~strong(2.5)|ONT_S/salience@0.5~reasonable(1.04)|PRO/position@0.25~reasonable(1.48)|ONT_H/position@0.1~reasonable(0.75)
215,theory_of_change_progress,stage2,single_choice,0.96,false,1,3,false,,false,3.16,3.16,0,,D2@15;D3@23,2,subthreshold_touch,ONT_S/position@0.85~reasonable(2.16)|ONT_S/salience@0.55~reasonable(1.04)|MAT/position@0.3~reasonable(1.88)|PRO/position@0.2~reasonable(0.94)
216,strengthen_democracy_priority,stage2,single_choice,0.96,false,1,3,false,,false,3.099,3.099,0,,,2,subthreshold_touch,ONT_S/position@0.85~reasonable(2.16)|ONT_S/salience@0.5~reasonable(0.64)|MAT/position@0.25~reasonable(1.54)|PRO/position@0.3~reasonable(1.86)
217,epistemic_style_ranking,fixed12,ranking,0.96,false,3,1,false,,false,1.501,0.5,0,,,0,,EPS/category@0.95~strong(1.58)
218,aesthetic_style_ranking,fixed12,best_worst,0.96,false,2,1,true,8,false,1.425,0.712,0,,D1@6;D2@6;D3@6,0,,AES/category@0.95~strong(1.5)|AES/salience@0.35~too_weak(0)